,loss
0,8.462084581082513
1,1.582473552037411
2,0.7544140597836919
3,0.45444838721639624
4,0.39769415390711677
5,0.3857018710803594
6,0.3136102919294291
7,0.22180112980768704
8,0.19524249077118502
9,0.18237996287013153
10,0.18994280949441392
11,0.13849085650424459
12,0.12348691341264117
13,0.11356672491436741
14,0.11754364489652733
15,0.1131899228794505
16,0.09671887026850293
17,0.10356649955521491
18,0.09244359018880322
19,0.08163614352126193
20,0.07318941500360933
21,0.07455231313784347
22,0.07058617677854966
23,0.07087957501113262
24,0.06240791537980045
25,0.06167123434513715
26,0.05722595694096899
27,0.05899943899995948
28,0.058997493627944195
29,0.055101644603861424
30,0.05218150881623201
31,0.05720118697161183
32,0.05712379706691876
33,0.055803175687239435
34,0.05187930366461126
35,0.04852637618267885
36,0.04749918618187377
37,0.043467167801982995
38,0.0399749080287823
39,0.046578093847138506
40,0.050007110801245876
41,0.04170168142148383
42,0.03857538373992726
43,0.03990985754707216
44,0.04632609568845926
45,0.03769764852250858
46,0.034660218626245465
47,0.03542123268878784
48,0.03457322713960557
49,0.03103163992329522
