,,val_loss,loss
0,0,11.087843676036215,545.0303521437667
0,1,8.807592950078654,8.070205379767929
0,2,7.734610380914998,6.757615639063687
0,3,7.076767198910267,6.051195682312294
0,4,6.620240330813553,5.593126760475938
0,5,6.279132161821638,5.264535603515915
0,6,6.008567183828119,5.01341300287144
0,7,5.788347803313156,4.812792899560904
0,8,5.605696318302249,4.6481297912812956
0,9,5.449743529258691,4.509729906960962
0,10,5.314792499636194,4.390998080622055
0,11,5.195305218720084,4.287469215500716
0,12,5.089201595513104,4.195834324309739
0,13,4.993432751077736,4.114246283756763
0,14,4.906663340770552,4.040681008279721
0,15,4.828097378209307,3.974204196313395
0,16,4.75610789407063,3.913616863013904
0,17,4.690158503865961,3.8580571111010675
0,18,4.629158061126183,3.8069047047090017
0,19,4.5725837388062125,3.7596720845470557
0,20,4.519701568246475,3.7157350430554645
0,21,4.470486683211303,3.6747271579127854
0,22,4.4242630155215705,3.6363744569840097
0,23,4.380715215147422,3.6003748987196897
0,24,4.339691386904035,3.5665115695051073
0,25,4.301093428945307,3.5345384784696527
0,26,4.264595062979336,3.5043361975144824
0,27,4.229861518549802,3.4757515920499094
0,28,4.19698228765591,3.4485679340215754
0,29,4.165620173609315,3.4227723429911316
0,30,4.135709067753383,3.398182823353391
0,31,4.107129233693842,3.374682204401634
0,32,4.079776694152155,3.3522710364436175
0,33,4.053568542179803,3.3308063654730784
0,34,4.028447003904822,3.310224286955769
0,35,4.0042811278639165,3.2904710203026917
0,36,3.9810457022906522,3.271495013900021
0,37,3.9586707786973476,3.2532433096355753
0,38,3.937130670124674,3.235617286697787
0,39,3.916414924912852,3.218678227322355
0,40,3.8964599665749837,3.202353937562274
0,41,3.877119168624502,3.186616095204791
0,42,3.858428206232381,3.171380590866504
0,43,3.840371212700905,3.156628517788945
0,44,3.822859924767405,3.142368908598828
0,45,3.805863742405558,3.1285482277437136
0,46,3.789361090730564,3.115152193180043
0,47,3.7733784154130907,3.102139940208016
0,48,3.7578927805858293,3.089500738548095
0,49,3.742813924733054,3.0772436113098207
0,50,3.7281316907535045,3.0653272211643414
0,51,3.7138395297703486,3.0537301870906823
0,52,3.69993690716222,3.042434564891872
0,53,3.686383989644168,3.031435639641724
