,loss
0,2.627675522022091
1,0.8788143877924376
2,0.719834189607034
3,0.6379308494927028
4,0.5856683887170485
5,0.5454132576824274
6,0.513630667235559
7,0.48495989218927643
8,0.4611246789156198
9,0.438599915361331
10,0.4194497828302535
11,0.40102284736300564
12,0.383152068346326
13,0.3667887900137424
14,0.3509096307960029
15,0.33533895052873886
16,0.3203104401304515
17,0.307672466467655
18,0.29432716050351077
19,0.28158912003162645
20,0.2685516942581071
21,0.2571484122079357
22,0.2461217451334122
23,0.23567431392028676
24,0.2260754393699415
25,0.2162484279820832
26,0.2072009488336241
27,0.19782450745324712
28,0.18957495167966132
29,0.18144886196730015
30,0.1732752886458872
31,0.1650478448514268
32,0.15868413140141946
33,0.15137171058807083
34,0.14466004376994945
35,0.13870624135462917
36,0.132445604271189
37,0.12689388328260065
38,0.12153771810115087
39,0.11627329425162813
40,0.1110393580379946
41,0.10641570691021209
42,0.1017429516300475
43,0.09740319658527624
44,0.0935200767388033
45,0.08969249222303366
46,0.08571192778000898
47,0.082626581465727
48,0.07909413200653535
49,0.07597957454801461
