,loss
0,2.5109869238166946
1,0.8909545766628357
2,0.7213987285752
3,0.6340656295197019
4,0.5766814426864459
5,0.5334486713282202
6,0.4981045672928999
7,0.4702685659637569
8,0.4438583286313781
9,0.42163754479282023
10,0.40019297845520196
11,0.3806079704710127
12,0.36296243192661476
13,0.3455937938729331
14,0.3294876626435153
15,0.3140984535767764
16,0.29924608955265863
17,0.28656456015426846
18,0.2734098007398853
19,0.2603805997911143
20,0.24856732048824423
21,0.23812875464031058
22,0.2272411794433721
23,0.21677973878389753
24,0.20720859349018614
25,0.19842798348923352
26,0.18910897229117207
27,0.1805487090697834
28,0.1725197916339152
29,0.16526957864086098
30,0.15797166337778532
31,0.15085569425171128
32,0.14408948660630821
33,0.1375996808162587
34,0.13146153999451432
35,0.12610202449645797
36,0.1205700096432951
37,0.11558437335790886
38,0.11023693298256783
39,0.105438880461066
40,0.10110493960091246
41,0.09679320224504889
42,0.09236447655463476
43,0.08896975180639739
44,0.08503225850540592
45,0.08157877214157379
46,0.07819707877609043
47,0.07529588984014927
48,0.07233623801713848
49,0.06937306504820848
