,loss
0,2.404975433616286
1,0.8586846885312943
2,0.6987878535697862
3,0.6178580427487854
4,0.5633800957739934
5,0.5238273124929695
6,0.48951137090047364
7,0.46187158465354855
8,0.43482549100303847
9,0.4131707978162966
10,0.393768271071413
11,0.3740201533360626
12,0.3568905620069734
13,0.3397760765347009
14,0.323861858803777
15,0.3091978132067245
16,0.2948751686199192
17,0.2816224642201165
18,0.2689702231159817
19,0.25601159628689013
20,0.24545011253250507
21,0.23332417315859377
22,0.2234349783962968
23,0.2128091775282277
24,0.20251290573408323
25,0.19257945185321731
26,0.18489905020987576
27,0.17595766995000864
28,0.16807778515437738
29,0.15982474455196102
30,0.15216345002157006
31,0.14528107691542835
32,0.1382399391369553
33,0.1321421427626436
34,0.1257330247504458
35,0.11999508210249042
36,0.11473859154670406
37,0.10939315471467512
38,0.1046042167021104
39,0.09933930274047505
40,0.09465936192140756
41,0.09022244268989123
42,0.08663845832314841
43,0.08253790730578953
44,0.07889419737964364
45,0.07579098001558271
46,0.07221248648666981
47,0.06912319746466708
48,0.06615641329565557
49,0.0634390927801504
