,loss
0,10.141920470677626
1,1.4351523531376245
2,0.7884669161381141
3,0.5477463465736364
4,0.4718851416737315
5,0.38681423462250714
6,0.3198346200541021
7,0.2671829384097446
8,0.23342646064361955
9,0.28101299295919624
10,0.20458927757239084
11,0.17755618093257197
12,0.16680822068832055
13,0.14495732604753916
14,0.13751414572584011
15,0.1298627502776648
16,0.15086460602323998
17,0.1315180872218648
18,0.10928040489653797
19,0.09400278901009453
20,0.09507555074726025
21,0.10943737393957093
22,0.1745763517392483
23,0.13597209540168526
24,0.08213558718256304
25,0.07398366551462077
26,0.0692161063394634
27,0.06524055474435383
28,0.06826484205708741
29,0.06274491310303122
30,0.05901432654042926
31,0.05573502537178467
32,0.05883137442901723
33,0.058471500184702346
34,0.05117081917206895
35,0.04998105341437659
36,0.04932199249387154
37,0.04578795067855124
38,0.04693274202944377
39,0.04946390159022906
40,0.04827731547751997
41,0.04750728787612524
42,0.05206130210514739
43,0.04501572446176078
44,0.04202336115507421
45,0.03750101341619866
46,0.037650951606270716
47,0.03705941305957876
48,0.03516602765724804
49,0.04858777326894394
