,loss
0,2.4825299127827307
1,0.8587358015264959
2,0.7025773846350798
3,0.6240623760125525
4,0.5710930533259878
5,0.5307992283535835
6,0.49744935329294376
7,0.46841155171639004
8,0.4432077630536259
9,0.42085543382681595
10,0.3992930699092049
11,0.38088028404026414
12,0.36191212747450546
13,0.3451505728291511
14,0.32769465332706504
15,0.31233894020670677
16,0.29759063414575626
17,0.2840735879661243
18,0.27042914964774745
19,0.2565365994172319
20,0.24562653949041743
21,0.23363459795682842
22,0.2226484653138087
23,0.2124712951538684
24,0.2018635649170981
25,0.19313208129450013
26,0.1844211959637025
27,0.17547225953677545
28,0.16719251332251214
29,0.15986351961964762
30,0.1522772078378926
31,0.1441768798508847
32,0.13892287072033194
33,0.1322601283144009
34,0.12612315683165473
35,0.12052453805875508
36,0.11492020353147346
37,0.10951396093544684
38,0.10482117454246596
39,0.10043746459447402
40,0.09623801629319444
41,0.09160725097814666
42,0.08763072223709815
43,0.08360698427479349
44,0.08066209661633372
45,0.0769036382107994
46,0.07366175447662804
47,0.07100293305059804
48,0.06771005780315204
49,0.06505503870390084
50,0.06264452050211125
51,0.05991174410235399
52,0.057606161503133683
53,0.05570530715150488
54,0.053635573912777006
55,0.0516099772292293
56,0.04979058480326979
57,0.04791042356306984
58,0.0464547300534471
59,0.0446685101882793
60,0.04334638604943021
61,0.04189543486818893
62,0.040348389340691716
63,0.0391773083948245
64,0.03810380594953015
65,0.03668864206733491
66,0.03566991857507707
67,0.034485466657861064
68,0.03370241154426792
69,0.032563999456842324
70,0.031680276766687006
71,0.030755524566657973
72,0.02990824577669537
73,0.02902400756781379
74,0.02838421065141454
75,0.0276379744178702
76,0.02675928063193702
77,0.026320775255767304
78,0.025534671218850755
79,0.024998397961557065
80,0.02422576875102373
81,0.023760211951896863
82,0.023023112494022557
83,0.02264608717181855
84,0.022216832449610965
85,0.021699169923619713
86,0.02123685589546635
87,0.020768688783133683
88,0.02030131721352081
89,0.019941726927117483
90,0.01941764293579703
91,0.019081776027399005
92,0.01866273641846252
93,0.018274959386075502
94,0.017882897882598555
95,0.017581874518542946
96,0.017124705107164892
97,0.01680290463101931
98,0.016735021413335927
99,0.016250755089698785
