,,val_loss,loss
0,0,0.49007558164925413,1.4289951136566053
0,1,0.45570334014046954,0.5268093617528815
0,2,0.31500634938625277,0.42437266971344456
0,3,0.254389474295043,0.33619651113980364
0,4,0.22230814884008446,0.27896277220387405
0,5,0.2090980171716859,0.22832771814163066
0,6,0.14803825406899007,0.1890436198931281
0,7,0.13070996337629892,0.1556130680917409
0,8,0.14712833285772153,0.12927170702743188
0,9,0.09770395515000292,0.10957657537815386
0,10,0.15854160653546526,0.0920537902566945
0,11,0.07461376058424048,0.0815207377894222
0,12,0.18783972505571808,0.06743378456339828
0,13,0.0721130322059387,0.0671921884106819
0,14,0.07100838095390151,0.055699235229935015
0,15,0.05057553059508648,0.0491507185314361
0,16,0.06371089021854212,0.047833543954720066
0,17,0.04108953560367594,0.04125949299090058
0,18,0.03758394630084484,0.03980389884102033
0,19,0.03878239925418581,0.036302597874277615
0,20,0.03364490747378378,0.03368850250720305
0,21,0.07264063372987832,0.033567511336567345
0,22,0.037860547527303834,0.03254297999039162
0,23,0.034478978430989925,0.028253164071075546
0,24,0.0324249610158023,0.026843828444926783
0,25,0.030701604863546166,0.02788739391215998
0,26,0.03273184135042388,0.02437066901350951
0,27,0.02731365621677173,0.024762826710518902
0,28,0.02319995608235815,0.025294331208171525
0,29,0.02698862757075009,0.023357612031462745
0,30,0.022881385085764778,0.02380016819607866
0,31,0.03576270993707215,0.023438925424704434
0,32,0.028486952288397427,0.022938927125592853
0,33,0.02505604940755614,0.019674744027613707
0,34,0.02643373696674854,0.020628197112332373
0,35,0.025015714217729756,0.019031890207617756
0,36,0.04255106430041966,0.020051263139347592
0,37,0.022886878989747006,0.0222766561778678
0,38,0.02421510361245113,0.01901828013016451
0,39,0.020274384991435582,0.017882588225726963
0,40,0.021809553846790286,0.019742645957139728
0,41,0.019380182761864123,0.018720581041330737
0,42,0.018109445978561647,0.016416456536215474
0,43,0.028779486489707025,0.018465846674129743
0,44,0.02013589312583942,0.015012032714882162
0,45,0.02288888187097211,0.015681989346771837
0,46,0.019556977144749882,0.013990697990328822
0,47,0.01971531315830541,0.019161986807440568
0,48,0.020666481635253416,0.014229349524027388
0,49,0.018471596142267947,0.014744145654451547
0,50,0.01748039167135807,0.013139119742293887
0,51,0.015861893918713912,0.0148913761576004
0,52,0.017827190339491872,0.012335012623588203
0,53,0.026434033980657315,0.018663641073578072
0,54,0.01557477265229366,0.013464036573005555
0,55,0.01602219660844415,0.015112274433421655
0,56,0.017119076888402696,0.012218760176652086
0,57,0.017622842575455534,0.012834262535436649
0,58,0.03919889157628778,0.017881503178254956
0,59,0.020717012173876975,0.011740723972315358
0,60,0.016285936679379106,0.011317106660430617
0,61,0.021813590068535265,0.01211017357723538
0,62,0.01630197904563596,0.012141972996596497
0,63,0.05112767091819218,0.012322845021353555
0,64,0.026942915685952005,0.01289040839185832
0,65,0.0211502897438451,0.015557511165650182
0,66,0.026327241608515163,0.01124865467224811
0,67,0.01776488821935184,0.009201222377613744
0,68,0.017118933338103035,0.01206654501288533
0,69,0.016468495416817407,0.009487688618417296
0,70,0.014737054204632496,0.011919075949452034
0,71,0.013948659253825107,0.010241287690957673
0,72,0.026011590354988727,0.00866985790548094
0,73,0.01483827597952535,0.009476078095381889
0,74,0.01541396358366964,0.011626009913347756
0,75,0.016358116107621216,0.010108986685961378
0,76,0.016859065262334688,0.01030468849695573
